# Time-averaged data for fix flux_out
# TimeStep c_flux[1] c_flux[2] c_flux[3]
5100 3832.24 2439.6 -377.943
5200 2039.56 1339.06 -368.322
5300 -80.4635 -84.0149 -235.61
5400 -1981.43 -1414.83 -146.021
5500 -3803.32 -2601.48 -184.611
5600 -5534.61 -3565.68 -185.787
5700 -6896.5 -4603.47 -99.8279
5800 -8312.97 -5056.26 -88.8706
5900 -9237.4 -5808.5 -205.71
6000 -10133.6 -5921.44 -262.382
6100 -10641.8 -5728.2 -226.696
6200 -10593.6 -5457.4 -246.083
6300 -10662 -5058.53 -348.86
6400 -10359.7 -4319.33 -369.175
6500 -10459.4 -3676.89 -296.98
6600 -9911.42 -3058.84 -299.978
6700 -9395.15 -2477.72 -383.471
6800 -9224.45 -1823.03 -358.029
6900 -8813.18 -1641 -292.711
7000 -8352.99 -1126.46 -290.847
7100 -7937.74 -811.622 -387.28
7200 -7401.26 -1052.94 -342.532
7300 -6759.25 -1266.28 -281.993
7400 -6189.31 -1681.01 -293.253
7500 -5576.18 -2177.96 -351.751
7600 -5236.03 -2785.93 -317.827
7700 -4771.47 -3206.16 -224.137
7800 -4288.04 -3758.96 -269.348
7900 -4359.96 -4624.7 -316.233
8000 -4257.14 -5389.27 -276.003
8100 -3959.82 -5563.49 -192.704
8200 -4201.05 -6209.24 -263.323
8300 -4502.01 -6653.09 -297.198
8400 -4829.44 -6681.59 -259.225
8500 -5515.14 -6961.89 -194.966
8600 -6343.73 -7030.25 -250.788
8700 -6938.7 -6725.53 -286.602
8800 -7836.44 -6941.98 -219.309
8900 -8378.33 -6931.44 -186.907
9000 -9350.41 -6479.88 -252.409
9100 -9760.09 -6365.43 -297.78
9200 -10159.8 -6030.06 -255.787
9300 -10259.4 -5850.82 -263.11
9400 -9897.97 -5282.43 -380.953
9500 -9295.84 -4569.43 -444.858
9600 -8355.78 -4286.73 -403.611
9700 -6937.22 -3185.66 -388.239
9800 -5551.23 -2427.84 -448.948
9900 -3780.14 -1476.83 -428.276
10000 -1829.53 -490.901 -312.127
10100 384.553 575.328 -257.513
10200 2407.41 1698.95 -263.032
10300 4397.01 2793.32 -221.168
10400 6149.7 3551.64 -110.174
10500 7510.94 5019.99 -102.388
10600 9050.89 5438.27 -181.76
10700 10360.1 6233.27 -198.627
10800 10873.7 6701.23 -159.15
10900 11370 7051.99 -220.032
11000 11547.5 7187.45 -335.598
11100 11274.3 7350.93 -338.621
11200 10973.5 7301.68 -298.018
11300 10655.2 7467.01 -331.687
11400 9900.28 7025.41 -397.954
11500 9413.95 6914.2 -359.432
11600 8828.97 6691.04 -307.492
11700 8306.6 6298.17 -338.841
11800 7697.15 5846.37 -393.361
11900 7673.17 5649.9 -340.588
12000 7285.96 4990.66 -272.295
12100 6835.54 4680.42 -311.25
12200 7037.36 4489.74 -354.525
12300 7030.26 3531.19 -299.888
12400 6811.83 3525.68 -237.971
12500 7300.29 3435.76 -290.069
12600 7492.06 2813.54 -336.731
12700 7570.43 2822.11 -260.978
12800 7921.09 2986.7 -208.961
12900 8551.62 3164.98 -259.573
13000 8816.68 3057.06 -294.023
13100 9071.61 3520.08 -220.851
13200 9487.92 3710.79 -186.397
13300 9851.07 4370.94 -242.795
13400 10429.6 4654.47 -261.572
13500 10979.7 5244.65 -187.783
13600 11086.1 5841.02 -189.973
13700 11224.5 6397.24 -262.257
13800 11606.1 6588.44 -277.795
13900 11698.3 6719.27 -240.114
14000 11378.9 6771.85 -278.864
14100 10694.3 6778.83 -395.833
14200 9787.08 6146.05 -439.991
14300 9003.74 5303.52 -387.088
14400 7502.69 4724.93 -388.082
14500 5840.73 3532.92 -456.304
14600 3856.22 2644.78 -399.861
14700 2028.37 1500.76 -279.894
14800 26.1684 252.822 -230.205
14900 -1924.46 -912.967 -254.015
15000 -3956.83 -2037.01 -190.108
15100 -5494.41 -3044.35 -82.6909
15200 -7278.28 -4087.78 -114.758
15300 -8478.15 -4866.69 -193.88
15400 -9341.92 -5142.74 -190.759
15500 -9916.3 -5647.89 -141.124
15600 -10328.9 -5781.27 -238.947
15700 -10515.8 -5714.41 -339.513
15800 -10524.8 -5842.52 -337.189
15900 -10010.5 -5647.33 -286.107
16000 -9693.04 -5176.38 -338.083
16100 -9110.9 -4933.73 -401.965
16200 -8463.97 -4817.81 -328.454
16300 -7868.83 -4537.75 -281.059
16400 -7550.21 -4335.71 -330.482
16500 -7012.63 -3718.04 -394.618
16600 -6478.13 -3811.36 -309.814
16700 -6185.46 -3546.09 -268.709
16800 -6012.55 -3579.03 -334.575
16900 -5877.66 -3591.97 -349.85
17000 -5404.57 -3648.4 -286.616
17100 -5542.11 -3715.21 -240.775
17200 -5536.1 -3594.7 -305.795
17300 -5637.61 -3911.84 -323.647
17400 -5808.12 -3879.02 -243.922
17500 -6035.68 -4098 -204.406
17600 -6203.97 -4350.34 -288.281
17700 -6908.26 -4475.55 -306.25
17800 -7289.7 -4528.08 -201.201
17900 -7995.77 -4865.47 -195.16
18000 -8488.67 -4936.59 -263.694
18100 -8826.01 -5266.92 -262.942
18200 -9631.85 -5489.69 -172.5
18300 -10123.5 -5772.02 -188.406
18400 -10480.5 -5796.44 -304.814
18500 -10779.5 -6016.53 -301.031
18600 -10398.4 -5605.75 -277.919
18700 -9968.27 -5734.65 -335.119
18800 -9373.4 -5265.05 -462.737
18900 -8436.06 -4302.27 -450.251
19000 -7113.31 -3714.09 -375.268
19100 -5252.28 -2730.55 -404.527
19200 -3692.13 -1661.41 -448.611
19300 -1570.17 -798.833 -362.816
19400 110.317 517.169 -231.614
19500 2267.18 1871.27 -236.539
19600 4466.03 2881.35 -233.524
19700 6111.32 3951.47 -133.066
19800 7868.16 4952.38 -90.5084
19900 9119.27 5612.77 -161.186
20000 10088.9 6416.13 -233.526
20100 10989.2 6849.33 -183.395
20200 11584.8 6990.72 -183.746
20300 11458.9 6877.65 -302.123
20400 11502.8 6966.48 -378.552
20500 11421.1 6755.48 -323.748
20600 11174 6536.65 -317.367
20700 10688.5 5944.54 -381.718
20800 10232.5 5442.72 -405.976
20900 9984.89 5043.93 -310.215
