# Time-averaged data for fix avg_pol
# TimeStep c_polarization[1] c_polarization[2] c_polarization[3]
0 0 3.46945e-15 0
100 223.474 195.056 -26.5821
200 591.114 501.74 -24.7203
300 995.493 796.837 -27.598
400 1363.86 997.679 -17.5006
500 1676.01 1109.94 -28.1677
600 1926.55 1176.47 -31.045
700 2121.01 1230.24 -36.7082
800 2277.33 1283.81 -36.8299
900 2411.44 1339.7 -41.1114
1000 2531.43 1398.03 -40.0204
1100 2639.91 1458.36 -40.468
1200 2737.21 1519.69 -38.3291
1300 2823.63 1582.04 -36.4067
1400 2899.54 1645.72 -33.7746
1500 2965.57 1711.28 -31.1858
1600 3023.04 1779.67 -28.6415
1700 3073.5 1851.98 -26.4051
1800 3118.96 1930.02 -24.4813
1900 3161.16 2015.46 -23.0181
2000 3201.96 2109.57 -22.0406
2100 3243.4 2213.79 -21.7642
2200 3287.71 2329.05 -22.2715
2300 3337.38 2455.2 -23.6971
2400 3395.14 2591.19 -25.962
2500 3463.67 2734.54 -28.8628
2600 3545.2 2881.53 -32.1096
2700 3640.78 3027.22 -35.248
2800 3749.72 3166.94 -38.141
2900 3869.06 3297.02 -40.4498
3000 3993.91 3415.39 -41.9941
3100 4117.75 3520.61 -42.5443
3200 4235.67 3613.02 -41.8905
3300 4344.46 3693.68 -40.2672
3400 4442.35 3763.7 -37.8004
3500 4528.99 3824.21 -34.876
3600 4605.33 3876.72 -31.7106
3700 4673.24 3922.97 -28.6087
3800 4734.85 3964.58 -25.5254
3900 4791.96 4003 -22.5779
4000 4846.13 4039.3 -19.7246
4100 4898.71 4074.36 -16.9441
4200 4950.99 4109.12 -14.1883
4300 5004.28 4144.52 -11.4783
4400 5060.1 4181.55 -8.75201
4500 5120.09 4221.25 -6.04394
4600 5186.06 4264.88 -3.38466
4700 5260.15 4313.83 -0.894593
4800 5344.79 4369.72 1.19086
4900 5442.82 4434.42 2.49009
5000 5557.42 4510.06 2.43859
5100 5692.03 4598.92 0.230062
5200 5848.83 4702.5 -5.03188
5300 6026.11 4819.71 -13.4757
5400 6217.29 4946.23 -23.6956
5500 6410.91 5074.41 -33.0192
5600 6594.45 5195.6 -39.2326
5700 6760.83 5304.3 -42.018
5800 6909.83 5399.34 -42.7273
5900 7045.29 5482.5 -42.2728
6000 7172.29 5556.79 -41.4239
6100 7295.34 5625.44 -40.4635
6200 7417.96 5691.39 -39.5993
6300 7542.75 5757.16 -39.0216
6400 7671.53 5824.76 -38.8705
6500 7805.27 5895.7 -39.0308
6600 7944.15 5970.85 -39.7419
6700 8087.52 6050.41 -40.8048
6800 8233.59 6133.69 -41.9199
6900 8378.69 6218.85 -42.6694
7000 8517.77 6303.06 -42.5849
7100 8645.7 6383.39 -41.3925
7200 8759.07 6457.91 -39.203
7300 8856.72 6526 -36.3396
7400 8939.57 6588.39 -33.175
7500 9009.78 6646.58 -30.0025
7600 9069.85 6702.33 -26.9216
7700 9122.26 6757.53 -24.0484
7800 9169.2 6814.17 -21.3404
7900 9212.45 6874.11 -18.8087
8000 9253.29 6938.97 -16.4801
8100 9292.9 7010.36 -14.4268
8200 9332.5 7090.1 -12.7221
8300 9373.51 7180.13 -11.5587
8400 9417.62 7282.47 -11.1511
8500 9466.89 7398.96 -11.7986
8600 9523.73 7530.57 -13.7979
8700 9590.72 7676.75 -17.3458
8800 9670.25 7834.67 -22.2582
8900 9763.82 7998.65 -27.9712
9000 9871.04 8160.79 -33.4971
9100 9988.82 8312.84 -37.934
9200 10111.8 8448.97 -40.602
9300 10234.1 8566.79 -41.4414
9400 10350.4 8665.98 -40.6348
9500 10457 8747.59 -38.5792
9600 10552.9 8813.56 -35.7868
9700 10638.8 8866.41 -32.6654
9800 10716.8 8908.59 -29.5677
9900 10789.5 8942.22 -26.5756
10000 10859.4 8969.01 -23.7335
10100 10928.8 8990.35 -21.0589
10200 11000.2 9007.14 -18.5567
10300 11075.6 9020.04 -16.2301
10400 11157.5 9029.47 -14.1762
10500 11247.8 9035.78 -12.4777
10600 11349.1 9039.48 -11.331
10700 11463.7 9041.4 -10.9964
10800 11594.5 9042.81 -11.7803
10900 11743.3 9045.72 -14.0376
11000 11910.7 9052.95 -17.9232
11100 12094.6 9068.12 -23.2177
11200 12289.6 9094.9 -29.2393
11300 12486.5 9135.52 -34.7959
11400 12674.8 9189.55 -38.7107
11500 12845.8 9253.9 -40.3652
11600 12994 9324.45 -39.9884
11700 13117.9 9398 -38.1343
11800 13219.1 9473.14 -35.6106
11900 13301.5 9550.23 -32.9432
12000 13369.6 9630.75 -30.5227
12100 13427.6 9716.55 -28.4778
12200 13479.3 9809.43 -26.9971
12300 13527.8 9911 -26.1462
12400 13576.1 10022.4 -26.0371
12500 13627.4 10144.4 -26.7058
12600 13684.7 10276.2 -28.1696
12700 13751 10415.7 -30.2883
12800 13829 10559.4 -32.7552
12900 13920.4 10703.1 -35.2781
13000 14025.6 10842.5 -37.6377
13100 14143.3 10974.1 -39.7553
13200 14270 11096.5 -41.456
13300 14401 11208.8 -42.5282
13400 14530.4 11310.5 -42.6223
13500 14652.5 11401.1 -41.5602
13600 14763.2 11480.7 -39.4456
13700 14860.6 11549.7 -36.6122
13800 14944.9 11609.6 -33.3933
13900 15017.9 11662.2 -30.1646
14000 15082 11709.4 -26.9779
14100 15139.6 11753.2 -23.9196
14200 15192.5 11795.1 -21.0024
14300 15242.6 11836.5 -18.1662
14400 15291.4 11878.7 -15.3894
14500 15340.2 11922.8 -12.6326
14600 15390.1 11970.1 -9.91721
14700 15442.3 12021.8 -7.25509
14800 15498.1 12079.6 -4.7105
14900 15558.9 12144.9 -2.41189
15000 15627.1 12220.3 -0.529159
15100 15705.1 12308.4 0.52447
15200 15795.9 12411.8 0.196141
15300 15902.3 12532.6 -2.27075
15400 16026.6 12671.6 -7.56643
15500 16169.1 12825.6 -15.7073
15600 16325.8 12987.1 -25.28
15700 16488.8 13144.2 -33.5656
15800 16648.4 13284.5 -38.4114
15900 16797.6 13400 -39.7615
16000 16934.6 13488.6 -38.9349
16100 17062 13553.2 -37.2444
16200 17184.3 13598.8 -35.4992
16300 17305.8 13630.9 -34.1343
16400 17430.1 13654.1 -33.3107
16500 17559.6 13673.1 -33.0617
16600 17695.6 13691.8 -33.3413
16700 17838.3 13714 -34.1051
16800 17987.2 13742.9 -35.2321
16900 18141.1 13780.9 -36.6646
17000 18298.4 13829.6 -38.2761
17100 18456.8 13888.8 -39.9814
17200 18613.4 13956.8 -41.4609
17300 18764.6 14030.7 -42.3715
17400 18906.7 14107.3 -42.2687
17500 19035.7 14183.2 -40.9823
17600 19149.1 14256 -38.7026
17700 19246.2 14324.8 -35.7645
17800 19328.1 14390.2 -32.537
17900 19397 14453.4 -29.3765
18000 19455.7 14516.3 -26.3703
18100 19506.7 14581 -23.5977
18200 19552 14649.4 -21.0962
18300 19593.7 14723.4 -18.9144
18400 19633.1 14804.8 -17.1411
18500 19671.9 14895.3 -15.8911
18600 19712 14996.9 -15.3328
18700 19755.3 15111.1 -15.687
18800 19804.5 15239.1 -17.1782
18900 19862.4 15380.9 -19.9644
19000 19931.9 15534.4 -23.9166
19100 20015.3 15695.1 -28.5896
19200 20113.5 15856 -33.2849
19300 20225.6 16010.3 -37.3726
19400 20347.9 16152.6 -40.3308
19500 20474.8 16279.5 -41.897
19600 20599.5 16389.9 -41.9495
19700 20716.5 16483.7 -40.5418
19800 20822.3 16562.3 -38.0842
19900 20916.2 16627.7 -34.9913
20000 20999.1 16682 -31.685
20100 21073.2 16727.4 -28.4089
20200 21140.9 16766 -25.2348
20300 21204.6 16799.4 -22.1905
20400 21266.4 16829 -19.2787
20500 21328.2 16855.7 -16.463
20600 21391.5 16880.2 -13.7291
20700 21458.2 16903.2 -11.0927
20800 21530.1 16925.2 -8.57369
20900 21609.4 16946.8 -6.2339
21000 21698.7 16968.7 -4.2019
21100 21801.1 16991.6 -2.73013
21200 21920.2 17016.8 -2.19717
21300 22059.3 17045.7 -3.17632
21400 22221 17080.3 -6.33175
21500 22405.3 17122.9 -12.0948
21600 22607.9 17175.8 -20.0882
21700 22818.9 17239.7 -28.666
21800 23024 17313.7 -35.4241
21900 23210 17395.5 -38.8865
22000 23368.6 17482.6 -39.4821
22100 23499.1 17574.2 -38.4347
22200 23606.1 17670.6 -37.004
22300 23696.2 17772.6 -35.7694
22400 23776.2 17881.2 -35.0029
22500 23852.3 17996.4 -34.8007
22600 23929.4 18117.2 -35.0915
22700 24011.5 18241.7 -35.7625
22800 24101.8 18367.2 -36.6072
22900 24202.3 18491.2 -37.5988
23000 24314.3 18612 -38.7332
23100 24437.4 18728.5 -40.0319
23200 24569.6 18840.1 -41.3496
23300 24706.5 18946.1 -42.4479
23400 24842.6 19045.3 -42.8482
23500 24972.2 19136.6 -42.213
23600 25090.6 19218.9 -40.4688
23700 25195.1 19292.2 -37.8811
23800 25285.3 19357 -34.7458
23900 25362.7 19415.1 -31.4618
24000 25429.5 19468.3 -28.1965
24100 25488.4 19518.7 -25.0799
24200 25541.4 19567.9 -22.0762
24300 25590.3 19617.6 -19.2156
24400 25636.5 19669.3 -16.4683
24500 25681.2 19724.4 -13.8245
24600 25725.7 19784.5 -11.3219
24700 25771.2 19851.5 -9.01337
24800 25819.1 19927.3 -7.02273
24900 25870.7 20014.2 -5.54391
25000 25928 20114.4 -4.88943
25100 25993.3 20230.3 -5.496
25200 26069.3 20363.5 -7.87848
25300 26158.3 20513.9 -12.4219
25400 26262 20677.8 -18.9979
25500 26380.3 20848.6 -26.6418
25600 26510.2 21016.2 -33.6735
25700 26645.5 21169.6 -38.3553
25800 26778.4 21300.7 -40.0487
25900 26902.7 21406.4 -39.3257
26000 27015.9 21487.8 -37.119
26100 27118.8 21548.4 -34.2673
26200 27214.2 21592.2 -31.3726
26300 27305.7 21622.6 -28.6728
26400 27396.5 21642.7 -26.314
26500 27489.8 21654.7 -24.3609
26600 27588.3 21660.2 -22.9152
26700 27694.7 21661 -22.0926
26800 27811.1 21658.6 -22.0065
26900 27939.3 21655.4 -22.7427
27000 28080.7 21653.8 -24.4149
27100 28234.6 21657.2 -26.9237
27200 28399.4 21669.1 -30.0297
27300 28571.7 21692.6 -33.4041
27400 28747.2 21729.9 -36.705
27500 28921 21780.8 -39.4774
27600 29088.2 21843.2 -41.2953
27700 29243.5 21913.1 -41.8273
27800 29382.7 21986.1 -40.955
27900 29503.2 22058.9 -38.8885
28000 29604.8 22130 -36.0446
28100 29688.9 22199.3 -32.9419
28200 29758.5 22268 -29.9258
28300 29817 22338.3 -27.1309
28400 29867.5 22412.4 -24.6442
28500 29912.6 22492.1 -22.5541
28600 29954.2 22579.7 -20.9237
28700 29994.6 22676.6 -19.8987
28800 30035.8 22784.6 -19.6342
28900 30080.3 22905.1 -20.2918
29000 30131 23038.4 -21.9932
29100 30191 23183.6 -24.7461
29200 30263 23337.1 -28.2891
29300 30349.1 23493.5 -32.1209
29400 30450 23647.2 -35.7409
29500 30564.6 23792.7 -38.8281
29600 30689 23926.7 -41.0856
29700 30817.8 24047.1 -42.3333
29800 30944.2 24153.3 -42.3066
29900 31062.7 24245.5 -41.0036
30000 31169.7 24324.4 -38.6713
30100 31264 24391.5 -35.6716
30200 31346.2 24448.4 -32.3907
30300 31418.3 24497.5 -29.1168
30400 31482.9 24540.8 -25.9432
30500 31542.1 24580.1 -22.8847
30600 31598 24616.7 -19.9267
30700 31652.1 24651.7 -17.0796
30800 31705.8 24686.1 -14.2626
30900 31760.6 24720.8 -11.4972
31000 31817.9 24756.8 -8.74115
31100 31879.3 24794.9 -6.02
31200 31946.7 24836.4 -3.36549
31300 32022.2 24882.5 -0.889838
31400 32108.6 24935 1.18978
31500 32209 24995.7 2.50392
31600 32327.2 25066.9 2.46234
31700 32467 25151.2 0.201778
31800 32630.8 25250.3 -5.20205
31900 32817.5 25364 -13.9651
32000 33019.8 25488.5 -24.6038
32100 33224.5 25616.3 -34.0885
32200 33417.6 25738.9 -40.0335
32300 33591.1 25851.3 -42.4551
32400 33745.1 25952.3 -42.8577
32500 33884.2 26043.8 -42.2404
32600 34014.2 26128.2 -41.2921
32700 34140.3 26208.3 -40.3063
32800 34266.7 26286.3 -39.5438
32900 34396 26364.2 -39.1432
33000 34529.9 26443.6 -39.1631
33100 34669.2 26525.5 -39.706
33200 34813 26610.2 -40.6783
33300 34959.3 26697.1 -41.7867
33400 35104.4 26784.6 -42.6247
33500 35243.5 26870.4 -42.7242
33600 35372.5 26952.3 -41.7704
33700 35487.9 27028.5 -39.7908
33800 35588.3 27098.4 -37.049
33900 35673.9 27162.3 -33.8923
34000 35746.3 27221.5 -30.6872
34100 35807.9 27277.6 -27.6236
34200 35861.3 27332.8 -24.7034
34300 35908.8 27388.8 -21.9587
34400 35952.1 27447.4 -19.4015
34500 35992.6 27510.4 -17.0504
34600 36031.8 27579.5 -14.9151
34700 36070.9 27656.9 -13.1124
34800 36111.2 27744.3 -11.7783
34900 36154.2 27844 -11.136
35000 36202 27957.9 -11.4832
35100 36257.1 28087.6 -13.1511
35200 36322 28233.3 -16.4047
35300 36399.6 28392.4 -21.1713
35400 36491.5 28559.6 -26.9347
35500 36597.8 28726.6 -32.6978
35600 36715.9 28884.7 -37.4498
35700 36841 29027.5 -40.4444
35800 36966.5 29151.4 -41.5237
35900 37086.2 29255.8 -40.8056
36000 37196.3 29341.7 -38.7298
36100 37295.5 29411.6 -35.8281
36200 37384.6 29468 -32.5461
36300 37465.5 29513.1 -29.2418
36400 37540.3 29549.1 -26.068
36500 37611.6 29577.7 -23.0933
36600 37681.9 29600.6 -20.3102
36700 37753.6 29618.8 -17.7136
36800 37828.9 29633.1 -15.3099
36900 37910.1 29644 -13.1848
37000 37999.4 29652.1 -11.421
37100 38099.6 29657.9 -10.1786
37200 38213.2 29662.2 -9.73868
37300 38343.1 29666.3 -10.4367
37400 38491 29672 -12.634
37500 38657.7 29682.1 -16.5407
37600 38841.9 29700 -22.0095
37700 39038.3 29729.2 -28.3451
37800 39237.2 29772 -34.231
37900 39427.2 29827.9 -38.3914
38000 39599.2 29894.1 -40.1163
38100 39747.6 29966.5 -39.6787
38200 39871 30042.4 -37.8249
38300 39971.5 30120.6 -35.3217
38400 40053.2 30201.7 -32.792
38500 40120.8 30286.9 -30.5506
38600 40178.7 30377.9 -28.7816
38700 40230.9 30476.4 -27.6416
38800 40280.9 30583.7 -27.1912
38900 40332.3 30700.9 -27.4921
39000 40388.1 30827.9 -28.5508
39100 40451.7 30963.7 -30.2876
39200 40526.1 31105.3 -32.4597
39300 40613.6 31248.8 -34.7699
39400 40715.1 31389.9 -37.0343
39500 40830.2 31524.7 -39.1277
39600 40955.9 31650.9 -40.9584
39700 41088.4 31767.8 -42.2762
39800 41222 31875 -42.7609
39900 41350.9 31972 -42.1095
40000 41469.3 32058 -40.2711
40100 41573.8 32133 -37.5198
40200 41664.1 32198 -34.3175
40300 41741.6 32255.1 -30.9482
40400 41809.1 32306.4 -27.6674
40500 41868.8 32353.9 -24.487
40600 41923 32399.4 -21.4623
40700 41973.5 32444.5 -18.543
40800 42022 32490.5 -15.7116
40900 42069.8 32539.1 -12.9464
41000 42118.4 32591.6 -10.2423
41100 42168.8 32649.6 -7.61531
41200 42222.2 32714.6 -5.18679
41300 42280.2 32788.7 -3.09529
41400 42344.8 32874.2 -1.59464
41500 42418.4 32973.8 -1.10019
41600 42503.7 33089.9 -2.18812
41700 42603.5 33224.2 -5.55053
41800 42720.1 33376.2 -11.6296
41900 42853.5 33541.3 -20.0034
42000 43000.2 33710.5 -28.9354
42100 43152.9 33871.1 -35.8231
42200 43302.7 34011.3 -39.1254
42300 43442.8 34124.1 -39.1972
42400 43571.1 34208.9 -37.4089
42500 43689.8 34269.2 -34.9868
